,level_0,index,series_name,network,season,title,imdb,engagement,date_aired,década,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
11,10,11,"Scooby Doo, Where Are You!",CBS,1,A Gaggle of Galloping Ghosts,5.7,190.13,11/22/1969,1961-1970,21,Serie,"Werewolf,Dracula,Frankenstein's Monster","Male,Male,Male","Animal,Undead,Undead","Werewolf,Vampire,Frankenstein's Monster","Human,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,FALSE,TRUE,Big Bob Oakly,Male,1,Treasure,these blasted kids,dog,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
12,11,12,"Scooby Doo, Where Are You!",CBS,1,"Scooby-Doo and a Mummy, Too",5.8,205.93,11/29/1969,1961-1970,21,Serie,Mummy of Ankha,Male,Undead,Mummy,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Urban,United States,1,FALSE,TRUE,Dr. Najib,Male,1,Theft,,,FALSE,1 box,1,0,0,0,0,0,0,6,1,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
13,12,13,"Scooby Doo, Where Are You!",CBS,1,Which Witch is Which,4.4,151.86,12/6/1969,1961-1970,21,Serie,"Zombie,Witch","Male,Female","Undead,Magician","Zombie,Witch","Human,Human",FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Swamp,United States,2,FALSE,TRUE,"Zeke,Zeb Perkins","Male,Male",2,Theft,,,FALSE,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
14,13,14,"Scooby Doo, Where Are You!",CBS,1,Go Away Ghost Ship,5.3,191.48,12/13/1969,1961-1970,22,Serie,Ghost of Redbeard,Male,Ghost,Pirate,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Ocean,United States,2,FALSE,TRUE,Mr. Magnus,Male,1,Theft,,,FALSE,0,0,0,0,0,0,0,0,5,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
15,14,15,"Scooby Doo, Where Are You!",CBS,1,Spooky Space Kook,4.7,162.4,12/20/1969,1961-1970,21,Serie,Spooky Space Kook,Male,Extraterrestrial,Phantom,Alien,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rural,United States,1,TRUE,TRUE,Henry Bascombe,Male,1,Competition,,,FALSE,0,1,0,0,0,0,0,0,8,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
16,15,16,"Scooby Doo, Where Are You!",CBS,1,A Night of Fright Is No Delight,5,162.64,1/10/1970,1961-1970,21,Serie,"Green Ghost,Green Ghost","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,3,FALSE,TRUE,"Cosgood Creeps,Mr. Crawls","Male,Male",2,Inheritance,,,FALSE,1,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
17,16,17,"Scooby Doo, Where Are You!",CBS,1,That's Snow Ghost,4.9,170.86,1/17/1970,1961-1970,21,Serie,Snow Ghost,Male,Ghost,Snow,Yeti,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Snow,United States,3,FALSE,TRUE,Mr. Greenway,Male,1,Theft,,,FALSE,a couple,0,0,0,0,0,1,0,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
18,17,18,"Scooby Doo, Where Are You!",CBS,2,Nowhere to Hyde,6.6,212.58,9/12/1970,1961-1970,21,Serie,Ghost of Mr. Hyde,Male,Ghost,Split-Personality,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Forest,United States,2,FALSE,TRUE,Dr. Jekyll,Male,1,Theft,,,FALSE,1 box,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
19,18,19,"Scooby Doo, Where Are You!",CBS,2,Mystery Mask Mix-Up,4,151.85,9/19/1970,1961-1970,21,Serie,"Ghost of Zen Tuo,Scare Pair,Scare Pair","Male,Male,Male","Ghost,Ghost,Ghost","Zombie,Zombie,Zombie","Human,Human,Human",FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,California,1,FALSE,TRUE,A. Fong,Male,1,Smuggling,,,FALSE,1,1,0,1,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
20,19,20,"Scooby Doo, Where Are You!",CBS,2,Scooby's Night with a Frozen Fright,6.2,212.23,9/26/1970,1961-1970,21,Serie,Caveman,Male,Ancient,Caveman,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,TRUE,Prof. Wayne,Male,1,Theft,those meddling kids,,FALSE,1,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
